raw_row_number,company_name_raw,stand_no,sector,products,country,website_text,website_url,company_column,details
59,C-Lines International,1-552,Poultry Livestock & Dairy Farming,"Livestock Technologies, Poultry Systems & Technologies",France,www.c-lines.com,http://www.c-lines.com,C-Lines International,"C-LINES International is a French engineering company and a leading provider in the prefabricated buildings for the agri-food and livestock’s sector, with over 5 million square meters built in more than 60 countries.The C-LINES concept is based on an advanced structural engineering process and a comprehensive 3D building modeling approach. Our mission is to deliver reliable and customizable structures that meet the specific needs of our clients while ensuring the welfare of the animals. We design and produce livestock buildings for all turnkey solutions: such as hatcheries, breeders, broilers, layer houses, warehouses, processing houses, packing station and all types of industrial buildings.Livestock building: With a focus on the broiler industry, egg layers, swine, and other animal rearing sectors, we offer innovative solutions that combine quality, durability, and efficiency.Hatcheries: C-Lines International designs and constructs hatcheries for the poultry industry. Our hatchery buildings are equipped with state-of-the-art incubation systems, climate control, and biosecurity measures to ensure optimal conditions for the successful hatching and rearing of chicks.Slaughterhouses: We provide specialized buildings for the efficient and hygienic processing of livestock. Our slaughterhouse structures are designed to meet industry regulations, incorporating features such as temperature control, sanitary facilities, and optimized workflow.Cold Rooms and Storage Facilities: C-Lines International offers custom-designed cold rooms and storage facilities for the agri-food industry. These structures are equipped with temperature control systems, insulation, and efficient storage solutions to preserve the quality and freshness of perishable goods."
60,Candem Gübre A.Ş,5-218,,,Turkiye,,,Candem Gübre A.Ş,
61,CheonjiBio,1-188,,,South Korea,,,,
62,"China Green Intelligent Agricultural Co., Ltd.",1-470,"Organic & Agro-Food, Agriculture Technologies, Aquaculture, Crop Farming","Dairy Products, AI & Smart Applications, Drones, Greenhouses Solutions, Hydroponics, Smart Farming, Smart Irrigation, Vertical Farming, Aquaculture Materials, Aquaculture Systems & Technologies, Crop Protection, Farming Technologies, Fertilizers & Pesticides, Landscaping & Nurseries",China,www.greenagro-cn.com,http://www.greenagro-cn.com,"China Green Intelligent Agricultural Co., Ltd.","Founded in 2011, China Green Agro is a national high-tech enterprise mainly engaged in agricultural investment, park construction, operation management and intelligent equipment research and development.China Green Agro gives full play to its research and development advantages in the field of modern agricultural equipment technology, has obtained nearly 100 national patents, and completed more than ten national scientific research projects and technology project development. The products are widely used in agricultural production, sightseeing, smart cities, scientific research experiments and many other fields. We have rich experience in agricultural facility automation, information integration, and sustainable profitability in agricultural parks, meeting the needs of customer groups in different countries."
63,"Chuangjing Agricultural Equipment Group Co., Ltd.",1-296,,,China,,,"Chuangjing Agricultural Equipment Group Co., Ltd.",
64,"Coatgreen Co., Ltd.",1-173,,,South Korea,,,,
65,Code Alnumui Company,1-319,,,Saudi Arabia,,,Code Alnumui Company,
66,Cravo Equipment Ltd.,1-282,Agriculture Technologies,Greenhouses Solutions,Canada,www.cravo.com,http://www.cravo.com/,Cravo Equipment Ltd.,"Cravo is a 45-year-old Canadian, family-run business with over 40 years of experience in the design and manufacturing of automatic retractable roof greenhouses, cooling houses and retractable field covering systems. We are active globally with installations on 6 continents covering vegetables, berries, cherries, tree nurseries, flowers, ornamentals, and perennials.Our intensive focus on how to create the best possible growing environment has resulted in over 75 different retractable roof solutions comprising of 5 different structures, 11 different coverings and 1-3 layers. This level of customization allows our customers to grow better crops and extend harvest seasons in temperate, desert, tropical and semi tropical locations using minimal water and electricity. While our expertise in the design and manufacture of retractable roof houses is recognized globally, what really sets us apart is our extensive experience in how to use the retractable roofs to manipulate the growingenvironment to achieve superior results."
67,Daeyang Corporation,1-190,,,South Korea,,,,
68,Dairy Farms Supporting Center,1-310,"Organic & Agro-Food, Poultry Livestock & Dairy Farming","Dairy Products, Feeds & Additives, Livestock Technologies",Saudi Arabia,,,Dairy Farms Supporting Center,"The Dairy Farms Supporting Center is one of the branches of Abdullah bin Mohammed Al-Tukhaim and Sons - a closed joint stock company. It is a long-standing activity in the field of agricultural production and has extensive experience in the production of dairy products and diverse agricultural materials extending for more than 48 years, particularly in the field of milk production and various agricultural products. The Dairy Farms Supporting Center has its roots deep in the veterinary market in the Kingdom for over 38 years of excellence and leadership, and in 1997, the Supporting Center merged with Al-Tukhaim Group, achieving brilliance and success together. The Supporting Center is an authorized dealer and distributor for global European companies, focusing on meeting the needs of dairy farms and livestock farms. This includes veterinary tools, vaccinations, dairy substitutes, and essential nutrients, as well as various vaccines for cattle and veterinary equipment, including artificial insemination tools, milking machinery for cows and sheep, calf feeding machines, cow and livestock numbering equipment, and feed additives and inputs such as cottonseed, in addition to mixing and feed production machines."
69,Dar Al-Alaf Agricultural Company,5-318,,,Saudi Arabia,,,Dar Al-Alaf Agricultural Company,
70,Dava Agricultural Co.,4-339,,,Saudi Arabia,www.dava.sa,http://www.dava.sa/,Dava Agricultural Co.,
71,"Desert Hills for Veterinary Co., Ltd. (Tanmiah)",1-240,"Poultry, Livestock & Dairy Farming",Animal Health & Technologies,Saudi Arabia,tanmiah.com/desert-hills-for-veterinary-services-company-ltd,http://tanmiah.com/desert-hills-for-veterinary-services-company-ltd,"Desert Hills for Veterinary Co., Ltd. (Tanmiah)",
72,Desert Ship Import & Export Company,5-102,,,Algeria,,,Desert Ship Import & Export Company,
73,DOF Ltd.,1-176,,,South Korea,,,,
74,Dotra Chemicals,4-496,,,Egypt,,,,
75,"ECC Co., Ltd.",1-189,,,South Korea,,,,
76,Egyptian German Co. for Agricultural Production,3-181,,,Egypt,,,,
77,EJADA Commercial Labs (FEEDCO Investment Company),4-160,,,Saudi Arabia,,,EJADA Commercial Labs (FEEDCO Investment Company),
78,Eminel Tarim Hayvancilik Ürünleri İnş. San Ve Tic A.Ş,3-296,,,Turkiye,,,Eminel Tarim Hayvancilik Ürünleri İnş. San Ve Tic A.Ş,
79,"Era Piping (Zhejiang) Co., Ltd",1-376,,,China,,,"Era Piping (Zhejiang) Co., Ltd",
80,Erad United Trading Company (ERADCO),4-430,"Agriculture Technologies, Crop Farming","Greenhouses Solutions, Crop Protection, Farming Technologies, Fertilizers & Pesticides, Landscaping & Nurseries",Saudi Arabia,www.eradunited.com,http://www.eradunited.com,Erad United Trading Company (ERADCO),"Erad United Trading Co. (ERADCO), founded in 1983 (1402H) for integrated agricultural supplies. The company’s trading portfolio includes Importing and marketing of:• Compound and straight fertilizers in soluble and granular forms.• Outdoor and indoor seeds including organic seeds.• Agricultural pesticides including Insecticides Fungicides, Herbicides• Public health pesticides and its equipments, and Veterinary products.ERADCO Subsidiaries:Khairat Agri Al-Khairat Modern Agricultural Co. was founded in 1988 for modern operation & Management of Agricultural farms - using our vast know - how to produce and market vegetable specialties, flowering pots, nurseries and indoor plants. KasrChem Gulf Palace Fertilizers Co. Founded in 2002 For production of a wide range of different types of fertilizers includes, NPK’s soluble fertilizers, suspension & liquid fertilizers, growing media and plant bio-stimulants."
81,Evergrow for Speciality Fertilizers,1-280,,,Egypt,,,Evergrow for Speciality Fertilizers,
82,EVYP Crop Biostimulation Technologies,4-493,,,Greece,evyp.gr,http://evyp.gr/,EVYP Crop Biostimulation Technologies,
83,Fakieh Poultry Farms CJSC,1-210,"Organic & Agro-Food, Poultry Livestock & Dairy Farming","Meat Products, Poultry & Fish Products, Chilled & Frozen Foods, Poultry Production",Saudi Arabia,www.fakiehfarms.com,http://www.fakiehfarms.com,Fakieh Poultry Farms CJSC,"Fakieh Poultry Farms established 65 years ago, is ranked as one of the top Poultry Production companies in the Middle East. The most important characteristic of this firm is the integration of poultry industry, as Fakieh farms, owns and controls all production stages of meat and egg, starting from the GP, Breeders, Broiler farms, incubators, slaughterhouses, and Feed productions up to the transportation and finally storage.With an annual production capacity of 110 million birds, 500 million table eggs and 1,000,000 tons of poultry feed.At the same time to get rid of wastes properly and in environmentally friendly manner Fakieh’s established a factory for organic fertilizers and rendering plants in order to complete the cycle of production.that proves healthy and fresh poultry adhering to international standards with affordable priceOur strict quality control measures means that every single item Produced by our plants adheres to international standards, offering 100% healthy and natural chicken products.Our concerted efforts are directed towards producing the finest poultry products while reducing waste and decreasing the use of natural resources.Our chicken feed is based on corn, soy, vitamins and minerals, Fakieh chicken's feed is 100% natural and; it is free of all kinds of animal by- Product."
84,Famsun Co. Ltd. (Al Khumasia),1-369,"Poultry, Livestock & Dairy Farming",Livestock Technologies,Saudi Arabia,www.famsungroup.com,http://www.famsungroup.com,Famsun Co. Ltd. (Al Khumasia),
85,FEEDCO Investment Company,2-210,,,Saudi Arabia,,,FEEDCO Investment Company,
86,First Mills Company,1-130,Poultry Livestock & Dairy Farming,"Animal Health & Technologies, Feeds & Additives",Saudi Arabia,www.firstmills.com,http://www.firstmills.com,First Mills Company,"Founded in 2017 as a result of the privatization of the General Food Security Authority (GFSA), First Mills is one of the cornerstones of Saudi Arabia's strategic food security ecosystem. The Company is a market-leading milling player in the Kingdom, incorporating innovative solutions to produce the highest quality flour, feed, bran and wheat derivatives. The Company covers all major regions of the Kingdom through four strategically located, large-capacity mills in Jeddah, Qassim, Tabuk, and Al-Ahsa. At First Mills, quality comes first in everything we do. Our ambition is to be the first choice for premium food and feed products in Saudi Arabia and the region."
87,G and N Fortune Limited,5-239,"Agriculture Technologies, Poultry Livestock & Dairy Farming, Aquaculture, Crop Farming","Hydroponics, Smart Farming, Smart Irrigation, Vertical Farming, Livestock Technologies, Aquaculture Materials, Farming Technologies",China,www.gnhydroponic.com,http://www.gnhydroponic.com,G and N Fortune Limited,"G And N Fortune Limited was founded in 1996, Which mainly specializes in NFT hydroponic system, PVC/PPR water supply and drainage pipe & fittings, Witch 55 automated assembly lines, 8 national patents and best service with professional sales team. Our products have been exported to more than 70 countries and regions, And the annual output value up to $30,000,000.G And N has independent design patents for the NFT hydroponic system, Many styles for leaf vegetable's NFT hydroponic system, Such as ""A"" style, Horizontal style and ""I"" style and so on. For the vine vegetable, Such as the tomato/cucumber we also have the dutch bucket and different sizes of substrate gutters to meet different requirements from customers. For nursery, we can offer customized nursery systems such gutter system, flood tray system, floating raft, NFT system, etc. What's more, we have our own greenhouse with 2,400 sqm and could offer support in full aspects for our customers such as complete system design, assembly instruction and planting technology support. You are welcome to visit us and discuss the cooperation."
88,General Food Security Authority (GFSA),2-160,Official Agency,Government Agency,Saudi Arabia,www.gfsa.gov.sa,http://www.gfsa.gov.sa,General Food Security Authority (GFSA),"General Food Security Authority (formerly known as the Saudi Grains Organization) is a Saudi government Authority that was transformed into its new name by a Royal Approval from the Council of Ministers on 17 January 2023. The Authority works on achieving economic development and providing the needs of the population of the Kingdom of Saudi Arabia from the basic food commodities. In addition to regulating, developing and enhancing the Kingdom’s food security, as well as coordinating and unifying efforts among the agencies concerned with the food security system from the public and private sectors."
89,Golden Gulf Veterinary Company,4-294,,,Saudi Arabia,,,Golden Gulf Veterinary Company,
90,Grain Technik Pvt. Ltd.,1-449,,,India,,,Grain Technik Pvt. Ltd.,
91,Green Building Agricultural Est. (Bunyan Al Riyadh),4-260,"Agriculture Technologies, Crop Farming, Agro-Food Processing & Packaging, Aquaculture","Greenhouses Solutions, Crop Protection, Landscaping & Nurseries, Agro-Food Packaging, Refrigeration & Storage, Aquaculture Materials, Aquaculture Systems & Technologies",Saudi Arabia,,,Green Building Agricultural Est. (Bunyan Al Riyadh),"A leading and specialized Group in the cultivation and supply of ornamental plants and professional landscaping services for all sectors and projects in the Kingdom and the region, powered by deep expertise and the latest agricultural technologies."
92,Green Footprint Agricultural Company,4-120,Crop Farming,,Saudi Arabia,,,Green Footprint Agricultural Company,"Ghars Company, a Specialist on Tomatoes, Cherry and Big Tomatoes Production for 25-thousand-meter square by Greenhouse System, High Tech Agriculture."
93,Green Plains Projects,5-253,,,Oman,,,Green Plains Projects,
94,Gruppo Carli (SICEM Srl),2-282,,,Italy,,,Gruppo Carli (SICEM Srl),
95,"Guniverse Intelligent Agricultural Tech Co., Ltd.",1-475,Agriculture Technologies,"Greenhouses Solutions, Hydroponics, Smart Farming",China,www.guniver.com,http://www.guniver.com,"Guniverse Intelligent Agricultural Tech Co., Ltd.","Guniverse has a proven track record of delivering successful projects worldwide. With over 700 completed projects in more than 60 countries, we offer greenhouse facilities and comprehensive services to empower growers with the knowledge and skills needed to maximize productivity. Guniverse, legally owns the renowned greenhouse brand and trademark of [Trinog] which currently enjoys high brand awareness and significant market share in both domestic and overseas markets."
96,Hamoud Ali Al Khalaf & Partner Co.,4-460,"Poultry, Livestock & Dairy Farming","Livestock Systems & Technologies, Animal Health & Nutrition, Fertilizers & Pesticides",Saudi Arabia,www.alkhalaf-hk.com,http://www.alkhalaf-hk.com/,Hamoud Ali Al Khalaf & Partner Co.,
97,Hanearl Science Ltd.,1-184,,,South Korea,,,,
98,"Hebei Shengshi Jintang Packaging Co., Ltd.",1-394,Agro-Food Processing & Packaging,"Agro-Food Packaging, Agro-Food Production & Processing",China,www.ppwovenbag.com,http://www.ppwovenbag.com,"Hebei Shengshi Jintang Packaging Co., Ltd.","We are delighted to provide our clients with premium AD*STAR® bags, PP Woven bags, BOPP laminated bags, Block Bottom bags, Big bags/ FIBC, and PP Woven fabric rolls, meticulously designed to cater to the specific demands of various sectors.With over four decades in the industry, we have always pursued excellence in quality, walking with the industry through every stage of its growth. Delivering over 300 million bags every year, we are pursuing to be one of the leading enterprises with global footprints. Choose us for high-quality and reliable packaging solutions."
99,"Heilongjiang Huida Technology Co., Ltd.",1-474,,,China,,,"Heilongjiang Huida Technology Co., Ltd.",
100,Hekagro Solutions Tarim Teknoloji San Ve Tic A.Ş,3-281,,,Turkiye,,,,
101,"Helper Robotech Co., Ltd.",1-185,,,South Korea,,,,
102,"Henan Yutuo Agricultural Technology Co., Ltd.",1-370,Agriculture Technologies,Greenhouses Solutions,China,www.ytgreenhouses.com,http://www.ytgreenhouses.com,"Henan Yutuo Agricultural Technology Co., Ltd.","Henan Yutuo Agricultural Science and Technology Co., LTD., founded in 2011, is a company specializing in promoting modern agricultural products, focusing on the greenhouse industry, committed to the modernization of agricultural facilities, with a professional team, Serving over 130 countries and regions worldwide. Mainly provide film greenhouses, glass greenhouses, PC greenhouse, solar panel greenhouse and relative equipment. Our company service concept is: ""Reputation First, Customer First"" – Delivering Gold Standard Services."
103,Hippos Agricultural and Industrial company,5-114,,,Jordan,,,Hippos Agricultural and Industrial company,
104,Holol Attarsheed Trading Est.,4-170,,,Saudi Arabia,,,Holol Attarsheed Trading Est.,
105,Hyma Plastic Hyma Foam,5-118,,,Egypt,,,Hyma Plastic Hyma Foam,
106,ICS-Canahill Agricultural Est.,5-339,Crop Farming,Seeds,Saudi Arabia,www.ics-can.com.sa,http://www.ics-can.com.sa,ICS-Canahill Agricultural Est.,
107,İjan Sera Sis San Tic A.Ş,5-215,,,Turkiye,www.ijan.com.tr,http://www.ijan.com.tr/,İjan Sera Sis San Tic A.Ş,
108,Jenincoor International B V Foreign Company,5-230,Feeds & Mills,Feeds & Additives,Saudi Arabia,,,Jenincoor International B V Foreign Company,
109,Jerim Metal Co.,1-191,,,South Korea,,,,
110,"Jiangsu Sunrise Environmental Technology Co., Ltd.",1-393,,,China,,,"Jiangsu Sunrise Environmental Technology Co., Ltd.",
111,"Jordan Greenhouses Manufacturing Co., Ltd.",4-379,"Agriculture Technologies, Crop Farming, Poultry Livestock & Dairy Farming","Greenhouses Solutions, Crop Protection, Farming Technologies, Fertilizers & Pesticides, Landscaping & Nurseries, Livestock Technologies, Poultry Systems & Technologies",Jordan,www.rayyan.com.jo,http://www.rayyan.com.jo/,"Jordan Greenhouses Manufacturing Co., Ltd.","Jordan Greenhouses, member of Munir Sukhtian International Holdings Group is the first greenhouses manufacturing company in the Middle East region, since its establishment in 1980, the company has worked to satisfy the growing needs for greenhouses for local and international clients. Leaded by a highly qualified team, the company has developed the greenhouses product range and integrated top-of-the-line technologies with the greenhouses structure to provide turnkey solutions that suit the special requirements of different regions and climates. The in-house engineering department is comprised of designers, engineers, systems integration specialists, and project managers. Our engineering team works closely with our clients, technology partners and consultants to determine the greenhouse system solution of high quality, optimum cost and maximum return on investment. The company has always succeeded in being the trusted partner for its clients."
112,Kayes Arabia for Trading Co.,5-319,Crop Farming,Farming Technologies,Saudi Arabia,www.kayesonline.com,http://www.kayesonline.com/,Kayes Arabia for Trading Co.,
113,Kemyea Yanbu for Industry (KEMYAN),1-339,"Organic & Agro-Food, Crop Farming","Dairy Product, Spices & Oil, Fertilizers & Pesticides",Saudi Arabia,www.kemyan.com,http://www.kemyan.com,Kemyea Yanbu for Industry (KEMYAN),"Agriculture and industrial in Kingdom of Saudi Arabia having un-limited support from government authority to satisfy food security and Diversification of national income sources through proper investment what God gave a wealth of nature. KEMYAN aspiring to be main supplier for food security in kingdom of Saudi Arabia and to be one of the leaders to close the food gap in Middle East. KEMYAN recently supplied a product that is being used widely in fertilizer and food security in the region with premium quality and optimum price without impacting our environment focusing on phosphate base products such GSSP, NPK, DI and Mono Calcium Phosphate."
114,"Korea Bio Co., Ltd.",1-175,,,South Korea,,,,
115,Korea Rural Community Cooperation,1-182,,,South Korea,,,,
116,KWAG,1-292,,,USA,,,KWAG,
117,La Meccanica SRL Di Reffo,4-471,Poultry Livestock & Dairy Farming,"Poultry Systems & Technologies, Livestock Technologies",Italy,lameccanica.it,http://www.lameccanica.it/,La Meccanica SRL Di Reffo,"La Meccanica Srl has been operating in animal feed for more than sixty years. Our company specializes in the construction of machinery with high quality standards for pellet production. Design and production are performed in-house ensuring real-time control over quality. The fully automated production plant with avant-garde technologies produce dies, rolls and spare parts for all the main brands of pellet mills. Precision, quality and technology have always distinguished our company. La Meccanica Network is well installed in 60 countries with 28 agents and distributors. In recent years we have opened 8 offices around the world, where skilled technicians carry out an efficient and fast technical service directly at the customer site. La Meccanica technologies are valuable for the animal, for people and for the world we live in.We stand for innovation and desire to build an eco-sustainable world."
118,Ladina for Industry (Saf-Sudair For Plastic Industries Co.),4-115,Agriculture Technologies,Greenhouses Solutions,Saudi Arabia,safsudair.com,http://safsudair.com/,Ladina for Industry (Saf-Sudair For Plastic Industries Co.),
119,Laoying S.A. (Juan Carlos Parra Perez),1-570,,,Mexico,,,Laoying S.A. (Juan Carlos Parra Perez),
120,Leha Agriculture Trading & Marketing,1-510,Crop Farming,Seeds,Saudi Arabia,,,Leha Agriculture Trading & Marketing,
121,Lubing System Srl,4-482,Agriculture Technologies,"Greenhouses Solutions, Hydroponics",Italy,lubing-greentec.net,http://lubing-greentec.net,Lubing System Srl,LUBING GreenTec designs and manufactures Systems for industrial greenhouses such as humidification and cooling systems for plant and flower production.
122,Maghateer Trad. Est.,4-369,Crop Farming,Fertilizers & Pesticides,Saudi Arabia,www.maghateer.co,http://www.maghateer.co/,Maghateer Trad. Est.,
123,Makrokim Kimyasal Maddeler San Tic A.Ş,5-349,,,Turkiye,,,Makrokim Kimyasal Maddeler San Tic A.Ş,
124,Masa Pest Control Establishment For Agricultural Pesticides,5-133,Crop Farming,Pest Control,Saudi Arabia,www.masapestcontrol.com.sa,http://www.masapestcontrol.com.sa,Masa Pest Control Establishment For Agricultural Pesticides,"MASA Pest Control Establishment is a 100% Saudi-owned company, fully managed and directed by Mr. Mousaied S. Alshieshakly, and has been serving the Kingdom since its establishment in 1980. Over the decades, MASA has built a solid and trusted reputation in the Saudi pest control industry by maintaining the highest standards of quality and service excellence, ensuring effective and reliable results for its clients. Our extensive portfolio of successfully completed projects—along with many ongoing and upcoming contracts—demonstrates the confidence our clients place in us. This long list of satisfied customers includes not only individual residents but also leading names across various sectors, both private and public. MASA’s success is backed by a team of highly qualified professionals and a commitment to delivering world-class pest control solutions at reasonable and competitive costs. We continue to uphold these values as we expand our services and strengthen our leadership in the industry."
125,Matar Tarim Ürünleri Paz İnş Tur Hay Analizleri San Ltd Şti,3-182,,,Turkiye,,,,
126,MDT Denge Tarim Müh San. Ve Tic. Ltd. Şti.,5-348,Crop Farming,Fertilizers & Pesticides,Turkiye,www.dengetarim.com.tr,http://www.dengetarim.com.tr,MDT Denge Tarim Müh San. Ve Tic. Ltd. Şti.,"Denge Tarım has 4 group companies in Turkey, as well as sales offices in Florida (USA) and Romania — a total of 6 group companies.Our group employs 120 colleagues and produces more than 200 different products.We export these products to more than 25 countries.We are the largest manufacturer of biological fertilizers in Turkey and Europe. Our products are of very high quality and offered at competitive prices. We also produce organic fertilizers, water-soluble fertilizers, biostimulants, and more."
127,Mekoser Seracilik San Ve Tic Ltd Şti,3-280,,,Turkiye,,,,
128,Menarat Al Haouz Travaux,4-483,,,Morocco,,,Menarat Al Haouz Travaux,
129,"Ministry Of Environment, Water & Agriculture (MEWA)",2-140,Official Agency,,Saudi Arabia,www.mewa.gov.sa,http://www.mewa.gov.sa/,"Ministry Of Environment, Water & Agriculture (MEWA)",
130,Mishkat Agritech Farm,5-139,,,Saudi Arabia,,,,
131,Mixscience / Nemow Al Amaal,4-299,"Poultry, Livestock & Dairy Farming",Animal Health & Technologies,Saudi Arabia,www.nemowaamaal.com,http://www.nemowaamaal.com/,Mixscience / Nemow Al Amaal,
132,Modern Mills Company,3-210,Feeds & Mills,Feeds & Additives,Saudi Arabia,www.modernmills.com.sa,http://www.modernmills.com.sa/,Modern Mills Company,
133,Mood Integrated Design (Saudi Reef),2-269,Official Agency,Government Agency,Saudi Arabia,beinmood.com,http://beinmood.com,Mood Integrated Design (Saudi Reef),"Mood Design is a company specialized in advertising, media, and the organization of conferences and events. It was established in 2016 under Saudi management. The company is responsible for representing the Sustainable Rural Agricultural Development Program (Reef Saudi) by supporting its participation in events and enhancing its presence across various digital media platforms."
134,Mosa Green SRL,4-473,,,Italy,,,Mosa Green SRL,
135,"Mr. Innovation Co., Ltd.",1-171,,,South Korea,,,,
136,Mulmix SRL,4-486,Agro-Food Processing & Packaging,"Agro-Food Production & Processing, Refrigeration & Storage",Italy,www.mulmix.it,http://www.mulmix.it,Mulmix SRL,"Mulmix is an Italian company specialized in the engineering, production, and supply of complete systems for grain storage and processing. Our range includes silos, dryers, conveyors, and turnkey plants tailored to both agricultural and industrial needs.We serve inland grain terminals, port facilities, grain traders, mills, oilseed processors, feed manufacturers, and seed selection centres. We also specialize in the revamping of obsolete facilities.With over 2,000 customers in more than 70 countries, Mulmix offers customized, reliable, and efficient solutions grounded in decades of experience and technical know-how.From design to installation and modernization, we integrate Italian engineering with innovation and precision, helping clients optimize their operations and protect product quality.Mulmix stands for excellence, flexibility, and long-term partnerships in the grain industry."
137,NakheelAgri Agricultural Company,4-230,Crop Farming,Fertilizers & Pesticides,Saudi Arabia,,,NakheelAgri Agricultural Company,"• NakheelAgri has been in the Saudi Arabia market for nearly four decades since its foundation back in 1981.• Although our nation is largely associated with desert, many of its regions possess climate suitable for agriculture.• NakheelAgri is the official distributor of Yara & Syngenta, the world’s leading fertilizer company."
138,Nano Farm Kimya Ve Tarim Pazarlama San Tic Ltd Sti,3-275,,,Turkiye,,,,
139,Napco National Packaging,4-270,"Agriculture Technologies, Crop Farming, Agro-Food Processing & Packaging, Aquaculture","Greenhouses Solutions, Hydroponics, Smart Farming, Smart Irrigation, Crop Protection, Agro-Food Packaging, Aquaculture Materials",Saudi Arabia,www.napconational.com,http://www.napconational.com/,Napco National Packaging,"With over 70 years of industry leadership, Napco Packaging provides advanced agricultural packaging and film solutions that boost productivity and environmental performance. We support growers, exporters, and distributors with a comprehensive range of products including shade and anti-insect nets, palm net bags, greenhouse and low tunnel films, mulch films, ground covers, soil disinfection films, HDPE geomembranes, water tubes, and animal feed bags. Designed for durability and ease of use, our solutions help protect crops from pests and harsh climates, while improving water and soil management and preserving produce quality. Driven by innovation, Napco Packaging partners with customers to deliver customized answers to today’s agricultural challenges. In alignment with Saudi Vision 2030, we contribute to national objectives of agricultural advancement, food resilience, and economic diversification. Backed by decades of expertise and a strong regional presence, we remain a dependable ally in cultivating a more sustainable future for agriculture across the region."
140,National Agricultural Development Co. (NADEC),3-140,"Organic & Agro-Food, Crop Farming, Poultry Livestock & Dairy Farming, Agro-Food Processing & Packaging, Aquaculture","Fresh Foods, Dried & Canned Foods, Meat Products, Poultry & Fish Products, Dairy Products, Frozen Foods, Spices & Oil, Crop Farming Technologies, Greenhouses Solutions, Irrigation Solutions, Fertilizers & Pesticides, Crop Protection, Livestock Technologies, Animal Health & Nutrition, Dairy Processing & Production, Agro-Food Production & Processing, Agro-Food Packaging Equipment, Agro-Food Packaging Supplies, Refrigeration & Storage, Aquaculture Systems & Technologies, Aquaculture Materials",Saudi Arabia,www.nadec.com,http://www.nadec.com,National Agricultural Development Co. (NADEC),"Nadec’s journey of success spans over 44 years, during which it has achieved numerous remarkable milestones that have established its brand as one of the leading national companies in the agricultural and food sectors across the Kingdom and the region. This contributes to enhancing food security and supports the goals of Saudi Vision 2030.Nadec’s product portfolio includes agricultural crops, olive oil, vegetables, a wide range of dairy products, juices, and red meat. The company also owns integrated agricultural and food operations across dairy farms and crop production, within four major agricultural and food projects located in Wadi Al-Dawasir, Haradh, Hail, and Al-Jouf."
141,National Center For Palms & Dates (NCPD),4-340,Official Agency,Government Agency,Saudi Arabia,ncpd.gov.sa,http://ncpd.gov.sa,National Center For Palms & Dates (NCPD),"A government center established for the purpose of developing the palm and dates sector in Saudi Arabia and we aim to be a primary center for the development and sustainability of the Saudi palm and dates sector, so that the Kingdom's dates are the first choice in the world by creating an integrated system of agricultural, marketing and knowledge services and adopting modern technologies to achieve production efficiency and increase the rate of consumption of Saudi dates locally and internationally."
142,National Company for Agricultural Services (Agriserv),3-110,"Agriculture Technologies, Crop Farming, Poultry Livestock & Dairy Farming, Official Agency","AI & Smart Applications, Greenhouses Solutions, Smart Farming, Fertilizers & Pesticides, Animal Health & Technologies, Government Agency, Agricultural Services",Saudi Arabia,www.agriserv.sa,http://www.agriserv.sa,National Company for Agricultural Services (Agriserv),"The National Company for Agricultural Services (AgriServ) is a government-owned company established by a cabinet resolution under the Agricultural services transformation program. AgriServ aims to provide high-quality and sustainable services to enable individuals and commercial facilities in the agricultural sector to improve operational efficiency, increase quality and productivity, and achieve positive impact on those working in the sector. The company delivers number of services assigned by the Ministry of Environment, Water and Agriculture. Which include the issuance of licenses, permits and certificates, quarry services, veterinary clinic services, disease and pest control, consultations and Agricultural marketing, services of public benefit markets and slaughterhouses. In addition to providing value-added services to achieve operational efficiency and increase customer satisfaction in the agricultural sector. The company prioritizes customers’ business growth and seeks to provide services that meet their needs and contribute to the sector's development and sustainability."
143,National Grain Supply Company (SABIL),2-130,Official Agency,Government Agency,Saudi Arabia,sabil.com.sa,http://sabil.com.sa/,National Grain Supply Company (SABIL),"The National Grain Supply Company, ""SABIL"" is a SALIC Group subsidiary wholly owned by the Public Investment Fund (PIF). SALIC established it following Cabinet Resolution No. 440 dated 24/6/1444H - 17/1/2023, which mandated the transformation of the Saudi Grains Organization into the General Food Security Authority. The resolution also transferred the operational responsibilities of grain silos, including wheat procurement and strategic storage, from the Authority to SALIC.SABIL will oversee the operational management of grain facilities across all silo branches in various regions of Saudi Arabia. It will maintain the required strategic reserves in alignment with Saudi food security requirements. Furthermore, SABIL aims to enhance operational efficiency, enabling local farmers and milling companies to ensure sustainable supply chains."
144,National Research and Development Center for Sustainable Agriculture,2-260,Official Agency,Government Agency,Saudi Arabia,estidamah.gov.sa,http://estidamah.gov.sa,National Research and Development Center for Sustainable Agriculture,"The National Center for Research and Development of Sustainable Agriculture (Estidamah) is a specialized center focused on supporting applied research and innovation in the field of sustainable agriculture. It aims to enhance food security, improve the efficiency of natural resource utilization, and promote modern agricultural technologies in line with the goals of the National Agricultural Strategy and the National Food Security Strategy.Estidamah houses advanced research facilities including smart greenhouses, tissue culture laboratories, and precision agriculture technologies. The center engages in national and international scientific collaborations and provides training programs and workshops tailored for farmers, researchers, and investors."
